cleaned_source,cleaned_target
tom is writing a letter.,START_ टमले पत्र लेख्दैछ। _END
tom is writing a letter.,START_ टमले चिठी लेख्दैछ। _END
tom is writing a report.,START_ टमले रिपोर्ट लेख्दैछ। _END
tom left because of you.,START_ टमले तिम्रो कारणले छोड्यो। _END
tom said he felt lonely.,START_ टमले आफू एक्लो महसुस गरेको बताए। _END
tom sang a song to mary.,START_ टमले मेरीको लागि एउटा गीत गाए। _END
tom says mary was wrong.,START_ टम भन्छन् कि मेरी गलत थिहिन्। _END
tom searched everywhere.,START_ टमले जताततै खोज्यो। _END
tom wants to protect me.,START_ टम मेरो रक्षा गर्न चाहन्छ। _END
tom was there yesterday.,START_ टम हिजो त्यहाँ थियो। _END
tom wasnt the youngest.,START_ टम सबैभन्दा कान्छो थिएन। _END
tom wears a tie to work.,START_ टमले काम गर्न टाई लगाउँछ। _END
we cant live like this.,START_ हामी यसरी बाँच्न सक्दैनौं। _END
we cant stay here long.,START_ हामी यहाँ लामो समय बस्न सक्दैनौ। _END
we discussed what to do.,START_ हामीले के गर्ने भन्ने कुरा गर्यौँ। _END
we dont have snow here.,START_ हामीसँग यहाँ हिउँ छैन। _END
we have to be proactive.,START_ हामी सक्रिय हुनुपर्छ। _END
we locked all the doors.,START_ हामीले सबै ढोकामा ताल्चा लगायौ। _END
we should wait a little.,START_ हामीले थोरै पर्खनुपर्छ। _END
what are we waiting for?,START_ हामी के पर्खिरहेका छौं? _END
"what time is it, anyway?","START_ जे होस्, कति बजेको छ? _END"
what time will you come?,START_ तिमी कति बजे आउने छौ? _END
whats your wifes name?,START_ तिम्री श्रीमतीको नाम के हो? _END
whens the next meeting?,START_ अर्को बैठक कहिले हुन्छ? _END
which toe am i touching?,START_ म कुन औंला छुदैछु? _END
who are you calling for?,START_ तपाई कसलाई बोलाउदै हुनुहुन्छ? _END
who would notice anyway?,START_ जे भए पनि कसले ध्यान दिने ? _END
why did tom do all this?,START_ किन टमले यो सबै गरे? _END
why did you turn it off?,START_ किन बन्द गर्नुभएको ? _END
you dont know who i am.,START_ तिमीलाई थाहा छैन म को हुँ। _END
youd better stay quiet.,START_ तपाईं चुप लागेर बस्नु राम्रो हुन्छ। _END
"as a rule, i dont drink.","START_ नियमको रूपमा, म पिउँदिन। _END"
bring me a cup of coffee.,START_ मलाई एक कप कफी ल्याउनुहोस्। _END
can i borrow your hammer?,START_ के म तिम्रो हथौडा उधारो लिन सक्छु? _END
cant you leave me alone?,START_ के तिमी मलाई एक्लै छोड्न सक्दैनौ? _END
christmas is almost here.,START_ क्रिसमस आइसकेको छ। _END
did tom really kiss mary?,START_ के टमले साँच्चै मेरीलाई चुम्बन गरेको थियो? _END
did you see tom steal it?,START_ के तपाईंले टमले चोरेको देख्नुभयो? _END
does tom still play golf?,START_ के टम अझै पनि गल्फ खेल्छन्? _END
how could you think that?,START_ तपाईं कसरी त्येस्तो सोच्न सक्नुहुन्छ? _END
how did you convince tom?,START_ तपाईंले टमलाई कसरी मनाउनुभयो? _END
how often do you do that?,START_ तपाईं कत्तिको त्यसो गर्नुहुन्छ? _END
how tall is your brother?,START_ तिम्रो भाइ कति अग्लो छ? _END
how tall is your brother?,START_ तिम्रो दाई कति अग्लो हुनुहुन्छ? _END
i deserve to be rewarded.,START_ म पुरस्कृत हुन योग्य छु। _END
i dont eat rice anymore.,START_ म अब भात खान्न। _END
i dont have any regrets.,START_ मलाई कुनै पछुतो छैन। _END
i dont have your number.,START_ मसँग तिम्रो नम्बर छैन। _END
i have a lot of homework.,START_ म संग गृहकार्य धेरै छ। _END
i have the same question.,START_ मेरो पनि एउटै प्रश्न छ। _END
i know whats in the box.,START_ मलाई बक्समा के छ भनेर थाहा छ। _END
i like the bright colors.,START_ मलाई उज्यालो रंग मन पर्छ। _END
i like walking by myself.,START_ म एक्लै हिड्न रुचाउछु। _END
i need a few suggestions.,START_ मलाई केही सुझावहरू चाहिन्छ। _END
i really dont like dogs.,START_ मलाई साँच्चै कुकुरहरू मन पर्दैन। _END
i saw him enter the room.,START_ मैले उसलाई कोठामा पसेको देखेँ। _END
i think tom is obnoxious.,START_ मलाई लाग्छ टम अपमानजनक छ। _END
i think we can handle it.,START_ मलाई लाग्छ हामी यसलाई सम्हाल्न सक्छौं। _END
i thought it was obvious.,START_ मैले सोचे कि यो स्पष्ट छ। _END
i took care of toms cat.,START_ मैले टमको बिरालोको हेरचाह गरें। _END
i want to eat fried rice.,START_ म फ्राइड राइस खान चाहन्छु। _END
i want to go and do that.,START_ म गएर त्यो गर्न चाहन्छु। _END
id almost fallen asleep.,START_ म झन्डै निदाएको थिए । _END
ill be there right away.,START_ म तुरुन्तै त्यहाँ जान्छु। _END
ill be there right away.,START_ म तत्कालै त्यहाँ जान्छु। _END
ill call you right back.,START_ म तिमीलाई तुरुन्तै फोन गर्छु। _END
ill do whatever you ask.,START_ तपाईले जे सोध्नुहुन्छ म गर्नेछु। _END
im not in love with you.,START_ म तिम्रो मायामा छैन। _END
im very grateful to you.,START_ म तपाईप्रति धेरै आभारी छु। _END
it didnt seem necessary.,START_ यो आवश्यक देखिएन। _END
its not difficult to do.,START_ यो गर्न कठिन छैन। _END
its not difficult to do.,START_ यो गर्नलाई धेरै गाह्रो छैन। _END
its not difficult to do.,START_ यो त्यति मुस्किल छैन। _END
may i turn off the radio?,START_ के म रेडियो बन्द गर्न सक्छु? _END
may i turn the radio off?,START_ के म रेडियो बन्द गर्न सक्छु? _END
my birthday is next week.,START_ मेरो जन्मदिन अर्को हप्ता हो। _END
my kid brother is twelve.,START_ मेरो भाई वर्षको छ। _END
my list has thirty names.,START_ मेरो लिस्टमा तीस वटा नामहरू छन् । _END
my mother is not at home.,START_ आमा घरमा हुनुहुन्न। _END
"my name is tom, not john.","START_ मेरो नाम जोन होइन, टम हो। _END"
please turn on the radio.,START_ कृपया रेडियो खोल्नुहोस्। _END
please water the flowers.,START_ कृपया फूलहरूमा पानी हाल्नुहोस्। _END
stop being so nice to me.,START_ मसँग यति राम्रो नबन्नुहोस। _END
take him to the hospital.,START_ उसलाई अस्पताल लैजानुहोस्। _END
take him to the hospital.,START_ उहाँलाई अस्पताल लैजानुहोस्। _END
take this to your mother.,START_ यसलाई आमालाई लगेर दिनुहोस्। _END
ten years is a long time.,START_ दश वर्ष लामो समय हो। _END
that house is very small.,START_ त्यो घर साँच्चै सानो छ। _END
that looks like it hurts.,START_ त्यसले दुख्छ जस्तो लाग्छ। _END
the girl washed her hair.,START_ केटीले आफ्नो कपाल धोइन्। _END
theres been an accident.,START_ त्यहाँ दुर्घटना भएको छ। _END
these flowers are pretty.,START_ यी फूलहरू सुन्दर छन्। _END
this is a very tall tree.,START_ यो एकदमै अग्लो रुख हो। _END
this is a very tall tree.,START_ यो रुख एकदमै अग्लो छ। _END
tom and mary are dieting.,START_ टम र मेरी डाइट गर्दै छन्। _END
tom became quite wealthy.,START_ टम धेरै धनी भए। _END
tom destroyed everything.,START_ टमले सबै कुरा नष्ट गर्यो। _END
tom didnt have a ticket.,START_ टमसँग कुनै टिकट थिएन। _END
tom got a little excited.,START_ टम अलिकति उत्साहित भयो। _END
tom had a very good time.,START_ टमले धेरै राम्रो समय बिताएको थियो। _END
tom has a beautiful wife.,START_ टमकि सुन्दर श्रीमती छिन्। _END
tom has a little brother.,START_ टमको एउटा भाइ छ। _END
tom is working on it now.,START_ टम अहिले यसमा काम गरिरहेका छ। _END
tom is working on it now.,START_ टम अहिले यसमा काम गर्दैछ। _END
tom is working right now.,START_ टम अहिले काम गरिरहेको छ। _END
"tom isnt jealous, is he?","START_ टम ईर्ष्यालु छैन, हो? _END"
tom isnt very important.,START_ टम धेरै महत्त्वपूर्ण छैन। _END
tom loved helping people.,START_ टम मानिसहरूलाई मद्दत गर्न मन पराउँथे। _END
tom made a serious error.,START_ टमले गम्भीर गल्ती गर्‍यो। _END
tom only has one shoe on.,START_ टमले एउटा मात्र जुत्ता लगाएको छ। _END
tom pulled out his phone.,START_ टमले आफ्नो फोन निकाल्यो। _END
tom said he felt awkward.,START_ टमले आफूलाई अप्ठ्यारो महसुस भएको बताए। _END
tom sang a song for mary.,START_ टमले मेरीको लागि एउटा गीत गाए। _END
tom says that hes happy.,START_ टम भन्छन् कि उनी खुशी छन्। _END
tom was faster than mary.,START_ टम मेरी भन्दा छिटो थियो। _END
tom was in constant pain.,START_ टम निरन्तर पीडामा थिए। _END
tom was killed by a bull.,START_ टमलाई गोरुले मारेको थियो। _END
tom was killed by a bull.,START_ टम गोरुले द्वारा मारिएको थियो। _END
tom went to marys house.,START_ टम मेरीको घर गए। _END
tom worked at a hospital.,START_ टम अस्पतालमा काम गर्थे। _END
tom worked at a hospital.,START_ टमले अस्पतालमा काम गरेको थियो। _END
tomorrow is fathers day.,START_ भोलि बुबाको मुख हेर्ने दिन हो। _END
try to eat a little more.,START_ अलि बढी खाने कोसिस गर्नुहोस्। _END
we put on our sunglasses.,START_ हामीले हाम्रो सनग्लास लगायौं। _END
we put our sunglasses on.,START_ हामीले हाम्रो सनग्लास लगायौं। _END
we wont take it anymore.,START_ अब हामी यसलाई लिने छैनौं। _END
what do you use this for?,START_ तपाइँ यो के को लागी प्रयोग गर्नुहुन्छ? _END
what shall we talk about?,START_ हामी के को बारेमा कुरा गर्ने? _END
whats tom worried about?,START_ टमलाई केको चिन्ता छ? _END
whats toms wifes name?,START_ टमकी श्रीमतीको नाम के हो? _END
where can i buy a ticket?,START_ म कहाँ टिकट किन्न सक्छु? _END
who is tom talking about?,START_ टम कसको बारेमा कुरा गर्दै हुनुहुन्छ? _END
who painted this picture?,START_ यो तस्विर कसले बनाएको हो ? _END
why is everybody in here?,START_ किन सबैजना यहाँ छन्? _END
why isnt tom doing this?,START_ टमले किन यो गरिरहेको छैन? _END
you didnt let me finish.,START_ तपाईंले मलाई पूरा गर्न दिनुभएन। _END
you didnt let me finish.,START_ तिमीले मलाई समाप्त गर्न दिएनौ। _END
you have great potential.,START_ तपाईंसँग ठूलो क्षमता छ। _END
you must answer honestly.,START_ तपाईले इमानदारीपूर्वक जवाफ दिनुपर्छ। _END
you were very convincing.,START_ तपाईं धेरै विश्वस्त हुनुहुन्थ्यो। _END
your french is excellent.,START_ तपाईंको फ्रान्सेली उत्कृष्ट छ। _END
who is this? its tom.,START_ यो को हो? यो टम हो। _END
a gentle rain was falling.,START_ हल्का पानी परिरहेको थियो। _END
all those boxes are empty.,START_ ती सबै बक्सहरू खाली छन्। _END
do you actually like this?,START_ के तपाई साँच्चै यो मनपर्छ? _END
do you think tom did that?,START_ के तपाई टमले त्यसो गर्नुभयो जस्तो लाग्छ? _END
dont look out the window.,START_ झ्यालबाट बाहिर नहेर्नुस्। _END
dont look out the window.,START_ झ्यालबाट बाहिर नहेर। _END
have you been lying to me?,START_ के तिमीले मसँग झूट बोलेको छौ ? _END
have you learned anything?,START_ के तपाईंले केही सिक्नुभयो? _END
have you learned anything?,START_ के तिमिले केही सिकेउ? _END
have you learned anything?,START_ के तैले केही सिकिस? _END
have you seen tom tonight?,START_ के तपाईंले आज राती टमलाई देख्नुभएको छ? _END
he can run faster than me.,START_ ऊ म भन्दा छिटो कुद्छ। _END
he can run faster than me.,START_ ऊ म भन्दा छिटो कुद्न सक्छ। _END
he helped me fix my watch.,START_ उहाँले मलाई मेरो घडी मिलाउन मद्दत गर्नुभयो। _END
he seems to have been ill.,START_ ऊ बिरामी थियो जस्तो देखिन्छ। _END
he used to be a gentleman.,START_ उहाँ पहिले सज्जन हुनुहुन्थ्यो। _END
he used to be a gentleman.,START_ ऊ पहिले सज्जन थियो। _END
he wants to learn to swim.,START_ उनी पौडी खेल्न सिक्न चाहन्छन्। _END
he wants to learn to swim.,START_ ऊ पौडी खेल्न सिक्न चाहन्छ। _END
how many santas are there?,START_ त्यहाँ कति सान्ताहरू छन्? _END
how much milk did you buy?,START_ तपाईले कति दुध किन्नु भयो ? _END
i am forever in your debt.,START_ म तिम्रो ऋणमा सदाको लागि छु। _END
i believe that hes happy.,START_ मलाई लाग्छ ऊ खुसी छ। _END
i cant find the rosemary.,START_ म रोजमेरी फेला पार्न सक्दिन। _END
i cant find the rosemary.,START_ मैले रोजमेरी भेट्टाउन सक्दिन। _END
i cant miss that meeting.,START_ म त्यो बैठक छुटाउन सक्दिन। _END
i cant see the price tag.,START_ म मूल्य ट्याग देख्न सक्दिन। _END
i didnt know what to say.,START_ मलाई के भन्ने थाहा थिएन। _END
i dont even want to know.,START_ म जान्न पनि चाहन्न। _END
i dont think i like that.,START_ मलाई लाग्दैन कि मलाई त्यो मनपर्छ। _END
i dont want any crackers.,START_ मलाई कुनै पटाका चाहिदैन। _END
i dont want any pancakes.,START_ मलाई कुनै प्यानकेक चाहिदैन। _END
i dont want any problems.,START_ म कुनै समस्या चाहन्न। _END
i dont want to be killed.,START_ म मारिन चाहन्न। _END
i dont want to die alone.,START_ म एक्लै मर्न चाहन्न। _END
i dont want to fight you.,START_ म तिमीसँग लड्न चाहन्न। _END
i dont want to forget it.,START_ म यसलाई बिर्सन चाहन्न। _END
i dont want to hear that.,START_ म त्यो सुन्न चाहन्न। _END
i dont want to hear this.,START_ म यो सुन्न चाहन्न। _END
i dont want to leave tom.,START_ म टमलाई छोड्न चाहन्न। _END
i dont want to leave you.,START_ म तिमीलाई छोड्न चाहन्न। _END
i dont want to marry tom.,START_ म टमसँग बिहे गर्न चाहन्न। _END
i dont want to overreact.,START_ म अति प्रतिक्रिया गर्न चाहन्न। _END
i dont want to shoot you.,START_ म तिमीलाई गोली हान्न चाहन्न। _END
i dont want to sign that.,START_ म त्यसमा हस्ताक्षर गर्न चाहन्न। _END
i dont want to stay here.,START_ म यहाँ बस्न चाहन्न। _END
i dont want to upset you.,START_ म तिमीलाई विचलित गर्न चाहन्न। _END
i dont want you involved.,START_ म तपाईलाई संलग्न गराउन चाहन्न। _END
i dont want you to leave.,START_ म तिमीलाई छोड्न चाहन्न। _END
i dont want you to worry.,START_ म तिमीले चिन्ता गरेको चाहन्न। _END
i dont want your charity.,START_ मलाई तिम्रो परोपकार चाहिदैन। _END
i dont want your opinion.,START_ मलाई तिम्रो राय चाहिदैन। _END
i dont want your opinion.,START_ म तिम्रो राय चाहन्न। _END
i drink tea without sugar.,START_ म चिनी बिनाको चिया पिउँछु । _END
i have a lot of back pain.,START_ मलाई धेरै ढाड दुख्ने समस्या छ। _END
i heard a good joke today.,START_ मैले आज एउटा राम्रो चुट्किला सुने। _END
i hope i didnt scare tom.,START_ मलाई आशा छ कि मैले टमलाई डराएको छैन। _END
i just want to find a cab.,START_ म बस एउटा ट्याक्सी खोज्न चाहन्छु। _END
i just want to watch this.,START_ म यो मात्र हेर्न चाहन्छु। _END
i just want you to listen.,START_ म केवल तपाईंले सुनेको चाहन्छु। _END
i know how tom got strong.,START_ मलाई थाहा छ टम कसरी बलियो भयो। _END
i know that tom is in bed.,START_ मलाई थाहा छ टम ओछ्यानमा छ। _END
i really liked your story.,START_ मलाई तपाईको कथा साँच्चै मन पर्यो। _END
i really liked your story.,START_ मलाई तिम्रो कथा साँच्चै मन पर्यो। _END
i really want to help you.,START_ म साँच्चै तपाईंलाई मद्दत गर्न चाहन्छु। _END
i really want to meet tom.,START_ म साँच्चै टमलाई भेट्न चाहन्छु। _END
i sent tom back to boston.,START_ मैले टमलाई बोस्टन फिर्ता पठाएँ। _END
i stopped drinking coffee.,START_ मैले कफी पिउन छाडिदिएँ। _END
i suspect tom is involved.,START_ मलाई शंका छ टम संलग्न छ। _END
i think that youre wrong.,START_ मलाई लाग्छ तपाईं गलत हुनुहुन्छ। _END
i usually dream in french.,START_ म सामान्यतया फ्रान्सेलीमा सपना देख्छु। _END
i want a few more minutes.,START_ मलाई अझै केही मिनेट चाहिन्छ। _END
i want it to be a success.,START_ म यो सफल होस् भन्ने चाहन्छु। _END
i want my dollars back.,START_ म मेरो डलर फिर्ता चाहन्छु। _END
i want my kids to be safe.,START_ म मेरो बच्चाहरु सुरक्षित हुन भन्ने चाहन्छु। _END
i want new business cards.,START_ म नयाँ व्यापार कार्ड चाहन्छु। _END
i want the truth from you.,START_ म तिमीबाट सत्य चाहन्छु। _END
i want to ask you a favor.,START_ म तपाईलाई एउटा कृपा सोध्न चाहन्छु। _END
i want to be here for tom.,START_ म टमको लागि यहाँ हुन चाहन्छु। _END
i want to be your husband.,START_ म तिम्रो श्रीमान बन्न चाहन्छु। _END
i want to contribute more.,START_ म थप योगदान गर्न चाहन्छु। _END
i want to stretch my legs.,START_ म मेरो खुट्टा फैलाउन चाहन्छु। _END
i wrote you three letters.,START_ मैले तिमीलाई तीनवटा पत्र लेखेको छु । _END
id never let tom kiss me.,START_ मैले टमलाई कहिल्यै चुम्बन गर्न दिइनँ। _END
ill be there in a minute.,START_ म तत्कालै त्यहाँ जान्छु। _END
im not here to celebrate.,START_ म यहाँ उत्सव मनाउन आएको होइन। _END
it is likely to rain soon.,START_ छिट्टै पानी पर्ने जस्तो देखिन्छ। _END
its five minutes to nine.,START_ बज्न मिनेट बाँकी छ। _END
its getting dark outside.,START_ बाहिर अँध्यारो हुँदैछ। _END
lets remember to do that.,START_ त्यसो गर्न सम्झौं। _END
my birthday is in october.,START_ मेरो जन्मदिन अक्टोबरमा हो। _END
my father isnt talkative.,START_ मेरो बुबा मौन हुनुहुन्छ। _END
my father isnt talkative.,START_ मेरो बुबा खासै बोल्नु हुन्न। _END
my name isnt on the list.,START_ सूचीमा मेरो नाम छैन। _END
only tom knows the answer.,START_ टमलाई मात्र जवाफ थाहा छ। _END
put this in your backpack.,START_ यसलाई आफ्नो झोलामा राख्नुहोस्। _END
tell me what your name is.,START_ तिम्रो नाम के हो भन। _END
the cows are eating grass.,START_ गाईहरूले घाँस खाइरहेका छन्। _END
the station is pretty far.,START_ स्टेशनबाट अलि टाढा छ। _END
the street is very narrow.,START_ त्यो गल्ली निकै साँघुरो छ। _END
they were waiting for tom.,START_ उनीहरू टमलाई पर्खिरहेका थिए। _END
they were waiting for tom.,START_ तिनीहरू टमको प्रतीक्षा गर्दै थिए। _END
this dress suits you well.,START_ यो पोशाक तपाईलाई राम्रोसँग सुहाउँछ। _END
this dress suits you well.,START_ यो लुगाले तपाईलाई राम्रो देखिन्छ। _END
"today is my birthday, too.",START_ आज मेरो पनि जन्मदिन हो। _END
tom and i danced together.,START_ टम र म सँगै नाच्यौं। _END
tom and mary are finished.,START_ टम र मेरी ले सकाए। _END
tom and mary like cycling.,START_ टम र मेरी साइकल चलाउन मन पराउँछन्। _END
tom and mary will do that.,START_ टम र मेरीले त्यो गर्नेछन्। _END
tom ate all the ice cream.,START_ टमले सबै आइसक्रिम खायो। _END
tom burned marys picture.,START_ टमले मेरीको तस्बिर जलाए। _END
tom burned marys picture.,START_ टमले मेरीको तस्बिर जलायो। _END
tom cant write very well.,START_ टम धेरै राम्रो लेख्न सक्दैन। _END
tom didnt run after mary.,START_ टम मेरीको पछि दौडिएन। _END
tom felt quite threatened.,START_ उनीहरूले जे गर्नुपर्छ त्यही गर्छन्। _END
tom has a younger brother.,START_ टमको एउटा भाइ छ। _END
tom has changed his plans.,START_ टमले आफ्नो योजनाहरू परिवर्तन गरेको छ। _END
"tom is talented, isnt he?","START_ टम प्रतिभाशाली छ, हैन? _END"
tom is the name of my son.,START_ टम मेरो छोराको नाम हो। _END
tom is the teams captain.,START_ टम टोलीको कप्तान हो। _END
tom looked a bit confused.,START_ टम अलि अलमलमा परेको देखियो । _END
tom opened the front door.,START_ टमले अगाडिको ढोका खोल्यो। _END
tom plans to study french.,START_ टमले फ्रान्सेली अध्ययन गर्ने योजना बनायो। _END
tom plans to study french.,START_ टमले फ्रान्सेली पढ्ने योजना बनाए। _END
tom pretended not to look.,START_ टमले नदेखेको बहाना गरे। _END
tom tried to fix the gate.,START_ टमले गेट बनाउने कोसिस गर्यो। _END
tom was able to help mary.,START_ टम मेरीलाई मद्दत गर्न सक्षम थिए। _END
tom was my boyfriend then.,START_ टम त्यतिबेला मेरो प्रेमी थियो। _END
tom was quicker than mary.,START_ टम मेरी भन्दा छिटो थियो। _END
tom was quicker than mary.,START_ टम मेरी भन्दा छिटो थिए। _END
tom would agree with that.,START_ टम त्यसमा सहमत हुनेछन्। _END
toms dog bit marys hand.,START_ टमको कुकुरले मेरीको हातमा टोक्यो। _END
toms stuff is everywhere.,START_ टमको सामान जताततै छ। _END
toms wifes name is mary.,START_ टमकी श्रीमतीको नाम मेरी हो। _END
well be here for a while.,START_ हामी केही समयको लागि यहाँ हुनेछौं। _END
weve got a real good car.,START_ हामीसँग साँच्चै राम्रो कार छ। _END
welcome to our small town.,START_ हाम्रो सानो सहरमा स्वागत छ। _END
were you able to help tom?,START_ के तपाइँ टमलाई मद्दत गर्न सक्षम हुनुहुन्थ्यो? _END
what do you think of this?,START_ यसबारे तपाईलाई के लाग्छ? _END
what have you seen so far?,START_ अहिलेसम्म के देख्नुभयो ? _END
what would you like to do?,START_ तिमी के गर्न चाहान्छौ? _END
what would you like to do?,START_ तपाई के गर्न चाहानुहुन्छ? _END
"who is taller, you or tom?","START_ को अग्लो छ, तपाईं वा टम? _END"
why dont they talk to me?,START_ तिनीहरू मसँग किन बोल्दैनन्? _END
why havent you asked tom?,START_ तपाईंले टमलाई किन सोध्नुभएको छैन? _END
why havent you asked tom?,START_ तपाईंले टमलाई किन सोध्नुभएन? _END
will we have to wait long?,START_ के हामीले लामो समय पर्खनुपर्ने हो? _END
you need to pay attention.,START_ तपाईंले ध्यान दिन आवश्यक छ। _END
youll never see me again.,START_ तिमीले मलाई फेरि कहिल्यै देख्ने छैनौ। _END
a friend lent me that book.,START_ त्यो किताब साथिबाट उधारो पाएको हो। _END
a lot of people came today.,START_ आज धेरै मान्छे आए । _END
act as if nothing happened.,START_ केही भएको छैन जस्तो व्यवहार गर्नुहोस्। _END
are mary and alice sisters?,START_ के मेरी र एलिस दिदी-बहिनी हुन्? _END
can you give me an example?,START_ के तपाईं मलाई एउटा उदाहरण दिन सक्नुहुन्छ? _END
can you guess what this is?,START_ के तपाई अनुमान गर्न सक्नुहुन्छ यो के हो? _END
can you guess what this is?,START_ के तिमी अनुमान गर्न सक्छौ यो के हो? _END
can you please repeat that?,START_ के तपाइँ यसलाई दोहोर्याउन सक्नुहुन्छ? _END
can you remember this game?,START_ के तपाइँ यो खेल याद गर्न सक्नुहुन्छ? _END
do you have any bad habits?,START_ के तपाईको कुनै नराम्रो बानी छ? _END
do you have to leave today?,START_ के आज तपाईले छोड्नु पर्ने हो ? _END
do you think youre strong?,START_ के तपाईं बलियो हुनुहुन्छ जस्तो लाग्छ? _END
do you think youre strong?,START_ के तलाई बलियो छु जस्तो लाग्छ? _END
do you think youre strong?,START_ के तिमीलाई बलियो छु जस्तो लाग्छ? _END
do you want us to help you?,START_ के तपाई हामीले तपाईलाई मद्दत गरुन भन्ने चाहनुहुन्छ? _END
do you want us to help you?,START_ के तिमी हामीले तिमीलाई मद्दत गरुन भन्ने चाहान्छौ? _END
express your ideas clearly.,START_ आफ्ना विचारहरू स्पष्ट रूपमा व्यक्त गर्नुहोस्। _END
he comes round once a week.,START_ उनी हप्तामा एकपटक आउँछन् । _END
he was seen to go upstairs.,START_ ऊ माथिल्लो तलामा गएको देखियो। _END
how old is the lead singer?,START_ प्रमुख गायक कति वर्षको हो ? _END
i apologize for being late.,START_ ढिलो भएकोमा माफी चाहन्छु। _END
i brought tom some cookies.,START_ मैले टमलाई केही कुकीहरू किनें। _END
"i dance, but not very well.","START_ म नाच्छु, तर खासै राम्रो छैन। _END"
i didnt eat any more rice.,START_ मैले अब भात खाइनँ । _END
"i dont care, but tom does.","START_ मलाई वास्ता छैन, तर टमलाई छ। _END"
i dont eat rice every day.,START_ म हरेक दिन भात खान्न। _END
i dont have any allergies.,START_ मलाई खासै केहीको पनि एलर्जी छैन। _END
i guess its time to leave.,START_ मलाई लाग्छ यो छोड्ने समय हो। _END
i know that im overweight.,START_ मलाई थाहा छ मेरो तौल धेरै छ। _END
i often visit my relatives.,START_ म प्रायः मेरा आफन्तहरूलाई भेट्न जान्छु। _END
i prefer walking to riding.,START_ म गाडीमा चढ्न भन्दा हिड्न रुचाउँछु। _END
i swear that im not drunk.,START_ म कसम खान्छु कि म मातेको छैन। _END
i think tom is working now.,START_ मलाई लाग्छ टम अहिले काम गरिरहेको छ। _END
i think youre a great guy.,START_ मलाई लाग्छ तपाईं एक महान मान्छे हुनुहुन्छ। _END
i was too drunk to do that.,START_ म त्यसो गर्नको लागि धेरै मातेको थिए। _END
i wonder what tom would do.,START_ म आश्चर्यचकित छु कि टम के गर्ला। _END
id like to report a theft.,START_ म चोरी रिपोर्ट गर्न चाहन्छु। _END
ill see you all in boston.,START_ म तिमीहरु सबै बोस्टन मा भेट्नेछु। _END
im from australia as well.,START_ म पनि अस्ट्रेलिया बाट हुँ । _END
im looking for my brother.,START_ म भाईलाई खोज्दै छु। _END
im not guilty of anything.,START_ मसँग केही पनि पछुतो छैन। _END
im pretty bored right now.,START_ मलाई अहिले निकै बोर लागेको छ। _END
im really grateful to you.,START_ म तपाईप्रति धेरै आभारी छु। _END
ive got to cut toms hair.,START_ मैले टमको कपाल काट्नु परेको छ। _END
ive never stolen anything.,START_ मैले कहिल्यै केही चोरेको छैन। _END
it seemed that he was sick.,START_ ऊ बिरामी भएजस्तो लाग्थ्यो । _END
it was nice and cool there.,START_ त्यहाँ राम्रो र सितल थियो। _END
its : in the afternoon.,START_ अहिले दिउँसोको : बजेको छ। _END
maybe you need to help tom.,START_ सायद तपाईंले टमलाई मद्दत गर्नु पर्छ। _END
maybe you wont believe me.,START_ सायद तिमीले मलाई विश्वास गर्दैनौ। _END
my birthday is coming soon.,START_ मेरो जन्मदिन चाँडै आउँदैछ। _END
my birthday is next monday.,START_ मेरो जन्मदिन अर्को सोमबार हो। _END
my first boyfriend was tom.,START_ मेरो पहिलो प्रेमी टम थियो। _END
my toolbox is in the trunk.,START_ मेरो औजार बाकस ट्रंक मा छ। _END
no one brought us anything.,START_ हामीलाई कसैले केही ल्याएनन्। _END
"obviously, tom is talented.","START_ स्पष्ट रूपमा, टम प्रतिभाशाली छ। _END"
"oh, thats ancient history!","START_ ओहो, त्यो पुरानो इतिहास हो! _END"
old people deserve respect.,START_ ज्येष्ठ नागरिकलाई सम्मान गर्नुपर्छ। _END
quite a few people do that.,START_ थोरै मानिसले त्यसो गर्छन्। _END
some people would say that.,START_ कतिपयले त्यसो भन्न सक्छन्। _END
that house is really small.,START_ त्यो घर साँच्चै सानो छ। _END
thats not what tom wanted.,START_ यो होइन जुन टमले चाहेको थियो। _END
the place was empty inside.,START_ भित्र ठाउँ खाली थियो । _END
this could save many lives.,START_ यसले धेरैको ज्यान बचाउन सक्छ। _END
this old coin is very rare.,START_ यो पुरानो सिक्का धेरै दुर्लभ छ। _END
thisll only take a moment.,START_ यसले केही क्षण मात्र लिनेछ। _END
tom jackson lived to be .,START_ टम ज्याक्सन वर्षसम्म बाँचेका थिए । _END
tom and mary can both swim.,START_ टम र मेरी दुवै पौडी खेल्न सक्छन्। _END
tom and mary live in a van.,START_ टम र मेरी एउटा भ्यानमा बस्छन्। _END
tom called me to apologize.,START_ टमले माफी माग्न फोन गरे। _END
tom didnt know the system.,START_ टमलाई प्रणालीको बारेमा थाहा थिएन। _END
tom didnt want to keep it.,START_ टम यसलाई राख्न चाहँदैनन्। _END
tom disappeared in october.,START_ टम अक्टोबरमा बेपत्ता भयो। _END
tom has a chemistry degree.,START_ टमसँग रसायनशास्त्रको डिग्री छ। _END
tom heard someone laughing.,START_ टमले कोही हाँसेको सुने। _END
tom is at school right now.,START_ टम अहिले स्कूलमा छ। _END
tom is certain to complain.,START_ टमले गुनासो गर्ने निश्चित छ। _END
